Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Jameel Alausa,24,1,187,9.5,0.515,0.512,0.073,0.488,52,0.053,0.188,0.125,0.079,0,0.013,0.179,0.171,0.1,0.3,0.4,0.095,-4.4,-0.3,-4.7
Paul Atkinson,30,29,955,28.9,0.65,0.636,0.04,0.511,481,0.089,0.175,0.134,0.106,0.022,0.028,0.123,0.252,3.9,2.1,6,0.252,4.3,2.3,6.6
Jordan Bruner,28,28,906,20.4,0.538,0.506,0.391,0.253,346,0.069,0.251,0.165,0.217,0.019,0.062,0.2,0.203,1.6,2.4,4,0.175,0.9,6.4,7.3
Matthue Cotton,30,1,581,15.4,0.527,0.52,0.637,0.159,204,0.028,0.123,0.078,0.094,0.018,0.01,0.089,0.212,1,1.1,2,0.14,1.2,-0.5,0.7
Eze Dike,20,0,132,6.7,0.456,0.405,0.27,0.514,47,0.038,0.108,0.075,0.208,0.013,0.009,0.27,0.248,-0.1,0.2,0.1,0.04,-5.9,-0.7,-6.6
Michael Feinberg,11,0,46,29.2,0.746,0.75,0.333,0.833,26,0.135,0.239,0.19,0.227,0,0,0.193,0.234,0.3,0.1,0.3,0.293,7.1,-0.8,6.4
Jalen Gabbidon,30,30,727,12.1,0.537,0.493,0.45,0.386,184,0.039,0.119,0.082,0.094,0.032,0.013,0.179,0.144,0.8,1.6,2.4,0.13,0,3.1,3.1
Ed Jarvis,10,0,43,25.5,0.496,0.467,0.067,0.867,24,0.231,0.255,0.244,0.142,0.014,0,0.086,0.28,0.2,0.1,0.3,0.239,1.9,-0.8,1.1
Isaiah Kelly,16,0,77,9,0.518,0.529,0.059,0.882,23,0.065,0.071,0.068,0.024,0.015,0.015,0.225,0.21,0,0.1,0.1,0.06,-5.6,-1,-6.7
Jake Lanford,9,0,40,20.2,0.714,0.667,0,1.333,15,0.093,0.192,0.146,0.136,0.015,0,0.234,0.166,0.1,0.1,0.2,0.21,1.2,0.7,1.8
August Mahoney,29,0,313,15.9,0.69,0.667,0.58,0.217,98,0.028,0.116,0.075,0.132,0.013,0.008,0.155,0.15,0.8,0.5,1.4,0.175,2.7,-0.2,2.6
Eric Monroe,30,30,888,13.3,0.611,0.568,0.587,0.284,258,0.013,0.11,0.064,0.252,0.015,0.011,0.261,0.139,1.6,1.5,3.1,0.138,1.1,0.8,1.9
Azar Swain,29,29,971,16.5,0.539,0.51,0.605,0.184,410,0.02,0.114,0.07,0.103,0.011,0,0.108,0.259,1.9,1.5,3.4,0.14,1.6,-1.8,-0.2
Austin Williams,18,1,88,4.7,0.535,0.4,0.3,0.75,27,0.042,0.1,0.073,0.02,0,0,0.289,0.225,0,0.1,0.1,0.031,-7.1,-3.4,-10.5
Wyatt Yess,22,1,246,16.7,0.62,0.625,0.417,0.583,63,0.081,0.214,0.152,0.092,0.026,0.014,0.148,0.114,0.5,0.6,1.1,0.182,1.4,3,4.4
Chris Lewis,28,28,728,23.6,0.611,0.596,0,0.35,300,0.094,0.163,0.13,0.068,0.022,0.066,0.169,0.217,1.8,1.5,3.4,0.184,1,3.7,4.7
Robert Baker,29,26,637,18.8,0.581,0.553,0.459,0.208,191,0.048,0.219,0.136,0.065,0.025,0.07,0.175,0.168,1,1.5,2.5,0.156,0.2,4.7,4.9
Danilo Djuricic,29,2,532,18.7,0.587,0.548,0.496,0.259,181,0.093,0.173,0.135,0.074,0.008,0.022,0.09,0.158,1.5,0.9,2.4,0.18,3.2,-0.1,3.1
Noah Kirkwood,27,25,779,15.4,0.539,0.523,0.398,0.314,313,0.02,0.124,0.074,0.164,0.021,0.01,0.192,0.243,0.9,1.3,2.2,0.112,0.4,0,0.4
Justin Bassey,29,29,809,11.4,0.509,0.468,0.446,0.369,207,0.052,0.167,0.112,0.109,0.018,0.005,0.217,0.147,0.6,1.4,2,0.097,-0.4,1.4,1
Mason Forbes,28,2,283,23.1,0.611,0.61,0,0.814,108,0.15,0.085,0.116,0.068,0.012,0.069,0.079,0.158,1,0.5,1.5,0.214,3.3,2.5,5.7
Rio Haskett,29,6,507,13.4,0.553,0.53,0.567,0.193,168,0.026,0.063,0.045,0.094,0.029,0.004,0.159,0.194,0.7,0.8,1.5,0.119,1.3,-0.7,0.6
Christian Juzang,25,18,621,11,0.47,0.432,0.596,0.23,187,0.017,0.096,0.058,0.203,0.013,0.003,0.156,0.172,0.7,0.8,1.5,0.096,0.2,-1.2,-1
Chris Ledlum,29,1,466,16.4,0.49,0.462,0.301,0.372,207,0.086,0.182,0.135,0.094,0.012,0.042,0.179,0.284,0.3,0.9,1.2,0.101,-2.7,0.1,-2.6
Bryce Aiken,7,6,179,19.9,0.565,0.488,0.424,0.459,106,0.013,0.068,0.041,0.149,0.029,0,0.201,0.365,0.3,0.3,0.6,0.137,0.7,-3.1,-2.5
Idan Tretout,16,0,119,22.4,0.525,0.48,0.32,0.34,60,0.03,0.074,0.053,0.218,0.024,0.018,0.079,0.267,0.4,0.2,0.6,0.193,2.9,-1.7,1.2
