Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jameel Alausa,24,1,7.8,0.9,1.7,0.512,0.9,1.6,0.553,0,0.1,0,0.4,0.8,0.5,0.3,1.3,1.7,0.3,0,0.1,0.5,1.1,2.2
Paul Atkinson,30,29,31.8,6.9,10.9,0.63,6.7,10.5,0.643,0.1,0.4,0.308,3.7,5.6,0.671,2.3,5.1,7.3,1.5,1.2,0.8,1.9,1.9,17.6
Jordan Bruner,28,28,32.4,4,9,0.443,2.9,5.5,0.519,1.1,3.5,0.323,1.8,2.3,0.766,1.8,7.4,9.2,3.7,1,1.7,2.5,1.8,10.9
Matthue Cotton,30,1,19.4,2.7,6.7,0.408,1.2,2.4,0.507,1.5,4.3,0.352,0.6,1.1,0.594,0.4,2.2,2.6,0.9,0.6,0.2,0.7,1.2,7.6
Eze Dike,20,0,6.6,0.7,1.9,0.378,0.6,1.4,0.444,0.1,0.5,0.2,0.6,1,0.632,0.2,0.7,0.9,0.8,0.2,0.1,0.9,1,2.1
Michael Feinberg,11,0,4.2,0.7,1.1,0.667,0.5,0.7,0.75,0.2,0.4,0.5,0.6,0.9,0.7,0.5,0.9,1.4,0.5,0,0,0.4,0.6,2.3
Jalen Gabbidon,30,30,24.2,1.9,4.7,0.414,1.2,2.6,0.468,0.7,2.1,0.349,1.3,1.8,0.741,0.8,2.6,3.4,1.3,1.3,0.3,1.2,2.7,5.9
Ed Jarvis,10,0,4.3,0.7,1.5,0.467,0.7,1.4,0.5,0,0.1,0,0.7,1.3,0.538,0.8,1,1.8,0.3,0.1,0,0.2,0.7,2.1
Isaiah Kelly,16,0,4.8,0.6,1.1,0.529,0.6,1,0.563,0,0.1,0,0.4,0.9,0.467,0.3,0.3,0.6,0.1,0.1,0.1,0.4,0.4,1.6
Jake Lanford,9,0,4.4,0.4,0.7,0.667,0.4,0.7,0.667,0,0,0,0.7,0.9,0.75,0.3,0.8,1.1,0.3,0.1,0,0.3,0.4,1.6
August Mahoney,29,0,10.8,1.3,2.4,0.536,0.7,1,0.655,0.6,1.4,0.45,0.4,0.5,0.867,0.2,1.1,1.4,0.8,0.2,0.1,0.5,1.3,3.6
Eric Monroe,30,30,29.6,2.3,5.2,0.439,0.9,2.1,0.438,1.3,3,0.44,1.3,1.5,0.886,0.3,3,3.3,4.3,0.7,0.3,2.1,2,7.2
Azar Swain,29,29,33.5,5.4,13.7,0.393,2.2,5.4,0.401,3.2,8.3,0.388,2.1,2.5,0.822,0.6,3.5,4,1.7,0.7,0,1.8,0.9,16
Austin Williams,18,1,4.9,0.4,1.1,0.4,0.4,0.8,0.571,0,0.3,0,0.7,0.8,0.867,0.2,0.4,0.6,0.1,0,0,0.6,0.6,1.6
Wyatt Yess,22,1,11.2,0.9,1.6,0.528,0.5,1,0.571,0.3,0.7,0.467,0.5,1,0.571,0.7,2.2,2.9,0.6,0.5,0.1,0.4,1.1,2.6
Bryce Aiken,7,6,25.6,5,12.1,0.412,3.1,7,0.449,1.9,5.1,0.361,4.9,5.6,0.872,0.3,1.6,1.9,1.7,1.3,0,3.7,2.3,16.7
Robert Baker,29,26,22,2.6,5.5,0.472,1.7,3,0.57,0.9,2.5,0.356,0.9,1.1,0.818,0.9,4.4,5.3,0.8,0.9,1.4,1.3,1.6,7
Justin Bassey,29,29,27.9,2.2,5.4,0.408,1.6,3,0.517,0.7,2.4,0.271,1.4,2,0.707,1.2,4.2,5.5,1.7,0.9,0.1,1.8,1.8,6.5
Ciaran Brayboy,6,0,2.8,0.2,0.3,0.5,0.2,0.3,0.5,0,0,0,0.5,0.7,0.75,0,0.7,0.7,0.2,0,0.2,0.7,0.7,0.8
