Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Jameel Alausa,24,1,187,4.5,8.8,0.512,4.5,8.1,0.553,0,0.6,0,2.1,4.3,0.5,8.6,1.7,0,0.4,2.4,5.6,11.1
Paul Atkinson,30,29,955,8.6,13.7,0.63,8.5,13.2,0.643,0.2,0.5,0.308,4.7,7,0.671,9.2,1.8,1.5,1,2.4,2.4,22.1
Jordan Bruner,28,28,906,4.9,11.2,0.443,3.5,6.8,0.519,1.4,4.4,0.323,2.2,2.8,0.766,11.3,4.6,1.3,2.1,3.1,2.2,13.5
Matthue Cotton,30,1,581,5.6,13.8,0.408,2.5,5,0.507,3.1,8.8,0.352,1.3,2.2,0.594,5.4,1.9,1.2,0.3,1.4,2.4,15.7
Eze Dike,20,0,132,4.2,11.2,0.378,3.6,8.2,0.444,0.6,3,0.2,3.6,5.8,0.632,5.2,4.5,0.9,0.3,5.2,5.8,12.7
Michael Feinberg,11,0,46,7,10.4,0.667,5.2,7,0.75,1.7,3.5,0.5,6.1,8.7,0.7,13,4.3,0,0,3.5,6.1,21.7
Jalen Gabbidon,30,30,727,3.2,7.7,0.414,2,4.2,0.468,1.2,3.5,0.349,2.2,3,0.741,5.6,2.1,2.2,0.4,2,4.4,9.8
Ed Jarvis,10,0,43,6.5,14,0.467,6.5,13,0.5,0,0.9,0,6.5,12.1,0.538,16.7,2.8,0.9,0,1.9,6.5,19.5
Isaiah Kelly,16,0,77,4.7,8.8,0.529,4.7,8.3,0.563,0,0.5,0,3.6,7.8,0.467,4.7,0.5,1,0.5,3.6,3.6,13
Jake Lanford,9,0,40,4,6,0.667,4,6,0.667,0,0,0,6,8,0.75,10,3,1,0,3,4,14
August Mahoney,29,0,313,4.7,8.8,0.536,2.4,3.7,0.655,2.3,5.1,0.45,1.7,1.9,0.867,5.1,2.8,0.9,0.3,1.8,5,13.4
Eric Monroe,30,30,888,3.1,7,0.439,1.3,2.9,0.438,1.8,4.1,0.44,1.8,2,0.886,4.4,5.8,1,0.4,2.8,2.7,9.7
Azar Swain,29,29,971,6.4,16.4,0.393,2.6,6.5,0.401,3.8,9.9,0.388,2.5,3,0.822,4.8,2,0.8,0,2.1,1.1,19.2
Austin Williams,18,1,88,3.6,9.1,0.4,3.6,6.4,0.571,0,2.7,0,5.9,6.8,0.867,5,0.5,0,0,5,4.5,13.2
Wyatt Yess,22,1,246,3.1,5.9,0.528,2,3.4,0.571,1.1,2.4,0.467,2,3.4,0.571,10.4,2.1,1.8,0.5,1.3,3.9,9.3
Bryce Aiken,7,6,179,7.8,19,0.412,4.9,10.9,0.449,2.9,8,0.361,7.6,8.7,0.872,2.9,2.7,2,0,5.8,3.6,26.1
Idan Tretout,16,0,119,7.4,16.8,0.44,6.1,11.4,0.529,1.3,5.4,0.25,4.4,5.7,0.765,3.7,4,1.7,0.7,1.7,3.7,20.5
Chris Ledlum,29,1,466,6.6,15.7,0.421,5.3,11,0.484,1.3,4.7,0.273,3.6,5.8,0.618,9.5,1.8,0.9,1.5,4,3.8,18.1
Chris Lewis,28,28,728,7.3,12.3,0.596,7.3,12.3,0.596,0,0,0,2.9,4.3,0.667,9.1,1.3,1.5,2.4,2.9,4.2,17.5
Noah Kirkwood,27,25,779,6.1,13.6,0.451,4.2,8.2,0.509,2,5.4,0.362,2.6,4.3,0.614,5.2,3.2,1.4,0.4,3.7,2.9,16.8
Rio Haskett,29,6,507,5,11.8,0.42,2.4,5.1,0.462,2.6,6.7,0.388,1.7,2.3,0.759,3.2,2,2,0.2,2.4,4.2,14.3
Mason Forbes,28,2,283,5.1,8.3,0.61,5.1,8.3,0.61,0,0,0,4,6.8,0.583,8.2,1.4,0.8,2.5,1,5.5,14.1
Danilo Djuricic,29,2,532,4.7,10.2,0.459,2.9,5.1,0.559,1.8,5,0.358,2.3,2.6,0.857,9.5,1.6,0.5,0.8,1.1,3.2,13.4
Robert Baker,29,26,637,4.7,10,0.472,3.1,5.4,0.57,1.6,4.6,0.356,1.7,2.1,0.818,9.6,1.4,1.7,2.6,2.3,2.8,12.7
Luka Sakota,20,1,140,4,10.6,0.378,1.7,4,0.429,2.3,6.6,0.348,1.7,2.3,0.75,3.4,2.6,0.3,0.3,3.1,4.9,12
Ciaran Brayboy,6,0,17,2.4,4.7,0.5,2.4,4.7,0.5,0,0,0,7.1,9.4,0.75,9.4,2.4,0,2.4,9.4,9.4,11.8
Christian Juzang,25,18,621,3.6,10.4,0.348,1.9,4.2,0.446,1.7,6.2,0.281,1.9,2.4,0.784,4.1,4.5,0.9,0.1,2.1,2.4,10.8
Kale Catchings,4,0,23,3.5,12.2,0.286,1.7,1.7,1,1.7,10.4,0.167,1.7,7,0.25,3.5,3.5,1.7,0,0,8.7,10.4
Justin Bassey,29,29,809,3.2,7.8,0.408,2.2,4.3,0.517,0.9,3.5,0.271,2,2.9,0.707,7.9,2.5,1.2,0.2,2.5,2.5,9.3
Tommy O'Neil,7,0,24,3.3,3.3,1,1.7,1.7,1,1.7,1.7,1,0,0,0,10,1.7,3.3,0,0,5,8.3
Henry Welsh,7,1,30,2.7,6.7,0.4,2.7,5.3,0.5,0,1.3,0,0,0,0,6.7,1.3,0,2.7,0,4,5.3
Reed Farley,2,0,4,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Spencer Freedman,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ Brodeur,27,27,934,8,15.8,0.504,7.2,13.1,0.55,0.7,2.7,0.274,3.3,4.7,0.716,10.3,6,1.2,2.1,3.2,2.6,20
Jordan Dingle,25,20,783,6.3,15.1,0.416,3.4,6.5,0.516,2.9,8.6,0.339,1.8,3.1,0.583,4.3,2.9,1,0.1,3.3,2.5,17.3
Alex Imegwu,5,0,10,4,8,0.5,0,0,0,4,8,0.5,4,8,0.5,4,4,0,0,0,0,16
