Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jameel Alausa,24,1,187,21,41,0.512,21,38,0.553,0,3,0,10,20,0.5,8,32,40,8,0,2,11,26,52
Paul Atkinson,30,29,955,206,327,0.63,202,314,0.643,4,13,0.308,112,167,0.671,68,152,220,44,35,23,57,57,528
Jordan Bruner,28,28,906,112,253,0.443,80,154,0.519,32,99,0.323,49,64,0.766,50,207,257,104,29,48,71,49,305
Matthue Cotton,30,1,581,82,201,0.408,37,73,0.507,45,128,0.352,19,32,0.594,13,65,78,28,18,5,21,35,228
Eze Dike,20,0,132,14,37,0.378,12,27,0.444,2,10,0.2,12,19,0.632,4,13,17,15,3,1,17,19,42
Michael Feinberg,11,0,46,8,12,0.667,6,8,0.75,2,4,0.5,7,10,0.7,5,10,15,5,0,0,4,7,25
Jalen Gabbidon,30,30,727,58,140,0.414,36,77,0.468,22,63,0.349,40,54,0.741,23,79,102,39,40,8,36,80,178
Ed Jarvis,10,0,43,7,15,0.467,7,14,0.5,0,1,0,7,13,0.538,8,10,18,3,1,0,2,7,21
Isaiah Kelly,16,0,77,9,17,0.529,9,16,0.563,0,1,0,7,15,0.467,4,5,9,1,2,1,7,7,25
Jake Lanford,9,0,40,4,6,0.667,4,6,0.667,0,0,0,6,8,0.75,3,7,10,3,1,0,3,4,14
August Mahoney,29,0,313,37,69,0.536,19,29,0.655,18,40,0.45,13,15,0.867,7,33,40,22,7,2,14,39,105
Eric Monroe,30,30,888,68,155,0.439,28,64,0.438,40,91,0.44,39,44,0.886,9,89,98,129,22,8,62,59,215
Azar Swain,29,29,971,156,397,0.393,63,157,0.401,93,240,0.388,60,73,0.822,16,101,117,49,19,0,52,26,465
Austin Williams,18,1,88,8,20,0.4,8,14,0.571,0,6,0,13,15,0.867,3,8,11,1,0,0,11,10,29
Wyatt Yess,22,1,246,19,36,0.528,12,21,0.571,7,15,0.467,12,21,0.571,16,48,64,13,11,3,8,24,57
Bryce Aiken,7,6,179,35,85,0.412,22,49,0.449,13,36,0.361,34,39,0.872,2,11,13,12,9,0,26,16,117
Robert Baker,29,26,637,75,159,0.472,49,86,0.57,26,73,0.356,27,33,0.818,26,127,153,22,27,41,37,45,203
Justin Bassey,29,29,809,64,157,0.408,45,87,0.517,19,70,0.271,41,58,0.707,36,123,159,50,25,4,51,51,188
Ciaran Brayboy,6,0,17,1,2,0.5,1,2,0.5,0,0,0,3,4,0.75,0,4,4,1,0,1,4,4,5
Kale Catchings,4,0,23,2,7,0.286,1,1,1,1,6,0.167,1,4,0.25,0,2,2,2,1,0,0,5,6
Danilo Djuricic,29,2,532,62,135,0.459,38,68,0.559,24,67,0.358,30,35,0.857,42,84,126,21,7,11,15,43,178
Reed Farley,2,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Forbes,28,2,283,36,59,0.61,36,59,0.61,0,0,0,28,48,0.583,36,22,58,10,6,18,7,39,100
Spencer Freedman,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Haskett,29,6,507,63,150,0.42,30,65,0.462,33,85,0.388,22,29,0.759,11,29,40,25,25,2,31,53,181
Christian Juzang,25,18,621,56,161,0.348,29,65,0.446,27,96,0.281,29,37,0.784,9,54,63,70,14,2,33,38,168
